Date,Actual,Predicted
2024-11-17,89845.8515625,88112.68
2024-11-18,90542.640625,87394.47
2024-11-19,92343.7890625,88023.35
2024-11-20,94339.4921875,89843.586
2024-11-21,98504.7265625,91759.2
2024-11-22,98997.6640625,95602.96
2024-11-23,97777.28125,95636.66
2024-11-24,98013.8203125,93996.01
2024-11-25,93102.296875,94155.06
2024-11-26,91985.3203125,89475.29
2024-11-27,95962.53125,88731.24
2024-11-28,95652.46875,93026.836
2024-11-29,97461.5234375,92930.5
2024-11-30,96449.0546875,94421.66
2024-12-01,97279.7890625,93144.84
2024-12-02,95865.3046875,93851.52
2024-12-03,96002.1640625,92448.75
2024-12-04,98768.53125,92655.93
2024-12-05,96593.5703125,95458.87
2024-12-06,99920.7109375,93225.14
2024-12-07,99923.3359375,96400.91
2024-12-08,101236.015625,96240.87
2024-12-09,97432.71875,97354.13
2024-12-10,96675.4296875,93370.59
2024-12-11,101173.03125,92830.06
2024-12-12,100043.0,97579.85
2024-12-13,101459.2578125,96396.03
2024-12-14,101372.96875,97542.836
2024-12-15,104298.6953125,97219.195
2024-12-16,106029.71875,100057.72
2024-12-17,106140.6015625,101462.57
2024-12-18,100041.5390625,101140.07
2024-12-19,97490.953125,94788.58
2024-12-20,97755.9296875,92890.14
2024-12-21,97224.7265625,93872.6
2024-12-22,95104.9375,93830.56
2024-12-23,94686.2421875,91866.73
2024-12-24,98676.09375,91553.01
2024-12-25,99299.1953125,95609.93
2024-12-26,95795.515625,96087.09
2024-12-27,94164.859375,92239.375
2024-12-28,95163.9296875,90638.9
2024-12-29,93530.2265625,91940.01
2024-12-30,92643.2109375,90617.96
2024-12-31,93429.203125,89833.62
2025-01-01,94419.7578125,90691.14
2025-01-02,96886.875,91736.37
2025-01-03,98107.4296875,94059.375
2025-01-04,98236.2265625,94980.09
2025-01-05,98314.9609375,94750.016
2025-01-06,102078.0859375,94612.82
2025-01-07,96922.703125,98285.875
2025-01-08,95043.5234375,92888.195
2025-01-09,92484.0390625,91200.664
2025-01-10,94701.453125,89100.89
2025-01-11,94566.59375,91761.586
2025-01-12,94488.4375,91876.38
2025-01-13,94516.5234375,91706.69
2025-01-14,96534.046875,91603.44
2025-01-15,100504.4921875,93534.336
2025-01-16,99756.90625,97319.57
2025-01-17,104462.0390625,96135.94
2025-01-18,104408.0703125,100447.766
2025-01-19,101089.609375,99854.3
2025-01-20,102016.6640625,96226.58
2025-01-21,106146.265625,97390.07
2025-01-22,103653.0703125,101740.53
2025-01-23,103960.171875,98903.63
2025-01-24,104819.484375,99139.1
2025-01-25,104714.6484375,100008.0
2025-01-26,102682.5,99894.15
2025-01-27,102087.6875,97813.01
2025-01-28,101332.4765625,97425.87
2025-01-29,103703.2109375,96908.69
2025-01-30,104735.3046875,99472.914
2025-01-31,102405.0234375,100339.41
2025-02-01,100655.90625,97699.46
2025-02-02,97688.9765625,96025.195
2025-02-03,101405.421875,93404.64
2025-02-04,97871.8203125,97568.22
2025-02-05,96615.4453125,94109.2
2025-02-06,96593.296875,92940.516
2025-02-07,96529.0859375,93096.06
2025-02-08,96482.453125,93249.71
2025-02-09,96500.09375,93253.49
2025-02-10,97437.5546875,93243.766
2025-02-11,95747.4296875,94129.29
2025-02-12,97885.859375,92380.29
2025-02-13,96623.8671875,94501.47
2025-02-14,97508.96875,93211.625
2025-02-15,97580.3515625,94062.82
2025-02-16,96175.03125,94091.78
2025-02-17,95773.3828125,92683.48
2025-02-18,95539.546875,92354.766
2025-02-19,96635.609375,92270.3
2025-02-20,98333.9375,93461.71
2025-02-21,96125.546875,95103.664
2025-02-22,96577.7578125,92725.01
2025-02-23,96273.921875,93124.164
2025-02-24,91418.171875,92906.69
2025-02-25,88736.171875,88262.6
2025-02-26,84347.0234375,85905.52
2025-02-27,84704.2265625,82146.805
2025-02-28,84373.0078125,82839.82
2025-03-01,86031.9140625,82990.555
2025-03-02,94248.3515625,84678.54
2025-03-03,86065.671875,92486.766
2025-03-04,87222.1953125,84412.36
2025-03-05,90623.5625,84837.734
2025-03-06,89961.7265625,88278.95
2025-03-07,86742.671875,87948.625
2025-03-08,86154.59375,84653.58
2025-03-09,80601.0390625,83973.53
2025-03-10,78532.0,78992.914
2025-03-11,82862.2109375,77083.59
2025-03-12,83722.359375,81367.516
2025-03-13,81066.703125,82854.234
2025-03-14,83969.1015625,80200.01
2025-03-15,84343.109375,82427.15
2025-03-16,82579.6875,82935.77
2025-03-17,84075.6875,81207.57
2025-03-18,82718.5,82402.5
2025-03-19,86854.2265625,81276.56
2025-03-20,84167.1953125,85096.18
2025-03-21,84043.2421875,82752.3
2025-03-22,83832.484375,82317.086
2025-03-23,86054.375,82113.5
2025-03-24,87498.9140625,84313.766
2025-03-25,87471.703125,85818.125
2025-03-26,86900.8828125,85670.24
2025-03-27,87177.1015625,84908.84
2025-03-28,84353.1484375,85090.055
2025-03-29,82597.5859375,82488.984
2025-03-30,82334.5234375,80816.64
2025-03-31,82548.9140625,80703.836
2025-04-01,85169.171875,81147.64
2025-04-02,82485.7109375,83722.06
2025-04-03,83102.828125,81293.445
2025-04-04,83843.8046875,81518.38
2025-04-05,83504.796875,82256.44
2025-04-06,78214.484375,82035.53
2025-04-07,79235.3359375,77063.66
2025-04-08,76271.953125,77668.22
2025-04-09,82573.953125,75373.58
2025-04-10,79626.140625,81108.76
2025-04-11,83404.8359375,79048.62
2025-04-12,85287.109375,82035.18
2025-04-13,83684.9765625,83857.18
2025-04-14,84542.390625,82224.234
2025-04-15,83668.9921875,82713.586
2025-04-16,84033.8671875,81953.02
2025-04-17,84895.75,82322.18
2025-04-18,84450.8046875,83228.77
2025-04-19,85063.4140625,82876.78
2025-04-20,85174.3046875,83375.16
2025-04-21,87518.90625,83486.94
2025-04-22,93441.890625,85680.13
2025-04-23,93699.109375,91357.414
2025-04-24,93943.796875,91387.37
2025-04-25,94720.5,91044.0
2025-04-26,94646.9296875,91535.39
2025-04-27,93754.84375,91458.35
2025-04-28,94978.75,90620.46
2025-04-29,94284.7890625,91887.08
2025-04-30,94207.3125,91281.7
2025-05-01,96492.3359375,91202.336
2025-05-02,96910.0703125,93447.48
2025-05-03,95891.796875,93796.55
2025-05-04,94315.9765625,92605.5
2025-05-05,94748.0546875,90997.02
2025-05-06,96802.4765625,91558.22
2025-05-07,97032.3203125,93737.77
2025-05-08,103241.4609375,93920.83
2025-05-09,102970.8515625,99817.875
2025-05-10,104696.328125,98962.12
2025-05-11,104106.359375,100181.22
2025-05-12,102812.953125,99226.95
2025-05-13,104169.8125,97928.39
2025-05-14,103539.4140625,99473.016
2025-05-15,103744.640625,98877.64
2025-05-16,103489.2890625,99113.53
2025-05-17,103191.0859375,98842.42
2025-05-18,106446.0078125,98578.98
2025-05-19,105606.1796875,101876.04
2025-05-20,106791.0859375,100692.01
2025-05-21,109678.078125,101720.88
2025-05-22,111673.28125,104421.41
2025-05-23,107287.796875,105974.22
2025-05-24,107791.15625,100948.63
2025-05-25,109035.390625,101900.24
2025-05-26,109440.3671875,103388.23
2025-05-27,108994.640625,103754.27
2025-05-28,107802.328125,103100.914
2025-05-29,105641.7578125,101851.47
2025-05-30,103998.5703125,99848.17
2025-05-31,104638.09375,98595.89
2025-06-01,105652.1015625,99644.18
2025-06-02,105881.53125,100758.8
2025-06-03,105432.46875,100796.14
2025-06-04,104731.984375,100123.47
2025-06-05,101575.953125,99361.14
2025-06-06,104390.34375,96285.01
2025-06-07,105615.625,99564.625
2025-06-08,105793.6484375,100738.24
2025-06-09,110294.1015625,100600.15
2025-06-10,110257.234375,104852.18
2025-06-11,108686.625,103998.13
2025-06-12,105929.0546875,101999.4
2025-06-13,106090.96875,99309.15
2025-06-14,105472.40625,100065.266
2025-06-15,105552.0234375,99730.805
2025-06-16,106796.7578125,99995.16
2025-06-17,104601.1171875,101272.45
2025-06-18,104883.328125,98874.89
2025-06-19,104684.2890625,99376.66
2025-06-20,103309.6015625,99299.164
2025-06-21,102257.40625,98037.53
2025-06-22,100987.140625,97184.734
2025-06-23,105577.7734375,96179.82
2025-06-24,106045.6328125,101069.35
2025-06-25,107361.2578125,101135.27
2025-06-26,106960.0,102021.82
2025-06-27,107088.4296875,101186.02
2025-06-28,107327.703125,101253.195
2025-06-29,108385.5703125,101483.695
2025-06-30,107135.3359375,102542.96
2025-07-01,105698.28125,101096.6
2025-07-02,108859.3203125,99745.5
2025-07-03,109647.9765625,103221.74
2025-07-04,108034.3359375,103706.29
2025-07-05,108231.1796875,101699.11
2025-07-06,109232.0703125,101977.81
2025-07-07,108299.8515625,103082.125
2025-07-08,108950.2734375,102047.01
2025-07-09,111326.5546875,102795.67
2025-07-10,115987.203125,105158.83
2025-07-11,117516.9921875,109480.29
2025-07-12,117435.2265625,109907.9
2025-07-13,119116.1171875,109021.59
2025-07-14,119849.703125,110517.24
2025-07-15,117777.1875,110869.65
2025-07-16,118738.5078125,108417.805
2025-07-17,119289.84375,109753.195
2025-07-18,118003.2265625,110166.42
2025-07-19,117939.9765625,108591.734
2025-07-20,117300.7890625,108617.36
2025-07-21,117439.5390625,107885.51
2025-07-22,119995.4140625,108055.07
2025-07-23,118754.9609375,110553.664
2025-07-24,118368.0,108456.87
2025-07-25,117635.8828125,107981.9
2025-07-26,117947.3671875,107130.164
2025-07-27,119448.4921875,107506.48
2025-07-28,117924.4765625,108815.72
2025-07-29,117922.1484375,106582.03
2025-07-30,117831.1875,106576.945
2025-07-31,115758.203125,106276.93
2025-08-01,113320.0859375,103987.09
2025-08-02,112526.9140625,101821.76
2025-08-03,114217.671875,101612.92
2025-08-04,115071.8828125,103664.84
2025-08-05,114141.4453125,104135.22
2025-08-06,115028.0,102710.1
2025-08-07,117496.8984375,103631.26
2025-08-08,116688.7265625,105944.78
2025-08-09,116500.359375,104415.375
2025-08-10,119306.7578125,104226.19
2025-08-11,118731.4453125,107171.086
2025-08-12,120172.90625,105883.516
2025-08-13,123344.0625,107343.34
2025-08-14,118359.578125,110158.01
2025-08-15,117398.3515625,103960.055
2025-08-16,117491.3515625,104190.945
2025-08-17,117453.0625,104857.35
2025-08-18,116252.3125,105072.4
2025-08-19,112831.1796875,103851.89
2025-08-20,114274.7421875,100684.555
2025-08-21,112419.03125,103190.62
2025-08-22,116874.0859375,101331.34
2025-08-23,115374.328125,106379.34
2025-08-24,113458.4296875,103821.54
2025-08-25,110124.3515625,101974.664
2025-08-26,111802.65625,99070.52
2025-08-27,111222.0625,101869.63
2025-08-28,112544.8046875,101321.516
2025-08-29,108410.8359375,102802.27
2025-08-30,108808.0703125,98268.51
2025-08-31,108236.7109375,99515.125
2025-09-01,109250.59375,99199.98
2025-09-02,111200.5859375,100525.13
2025-09-03,111723.2109375,102359.92
2025-09-04,110723.6015625,102422.945
2025-09-05,110650.984375,101125.2
2025-09-06,110224.6953125,101251.22
2025-09-07,111167.6171875,101017.05
2025-09-08,112071.4296875,102241.85
2025-09-09,111530.546875,103127.02
2025-09-10,113955.359375,102433.77
2025-09-11,115507.5390625,105066.234
2025-09-12,116101.578125,106279.35
2025-09-13,115950.5078125,106460.75
2025-09-14,115407.65625,106042.28
2025-09-15,115444.875,105521.18
2025-09-16,116843.1875,105784.11
2025-09-17,116468.5078125,107335.92
2025-09-18,117137.203125,106655.98
2025-09-19,115688.859375,107336.25
2025-09-20,115721.9609375,105669.66
2025-09-21,115306.09375,106057.33
2025-09-22,112748.5078125,105732.1
2025-09-23,112014.5,103218.79
2025-09-24,113328.6328125,103021.03
2025-09-25,109049.2890625,104700.086
2025-09-26,109712.828125,100123.53
2025-09-27,109681.9453125,101544.03
2025-09-28,112122.640625,101603.8
2025-09-29,114400.3828125,104112.48
2025-09-30,114056.0859375,105786.81
2025-10-01,118648.9296875,104596.16
2025-10-02,120681.2578125,109047.75
2025-10-03,122266.53125,109877.24
2025-10-04,122425.4296875,110520.2
2025-10-05,123513.4765625,109814.6
2025-10-06,124752.53125,110628.39
2025-10-07,121451.3828125,111432.88
2025-10-08,123354.8671875,107408.56
2025-10-09,121705.5859375,110171.46
2025-10-10,113214.3671875,107992.66
2025-10-11,110807.8828125,99598.51
2025-10-12,115169.765625,99452.914
2025-10-13,115271.078125,105254.09
2025-10-14,113118.6640625,104827.484
2025-10-15,110783.1640625,102224.03
2025-10-16,108186.0390625,100175.81
2025-10-17,106467.7890625,98301.49
2025-10-18,107198.265625,97473.89
2025-10-19,108666.7109375,98924.234
2025-10-20,110588.9296875,100541.75
2025-10-21,108476.890625,102167.56
2025-10-22,107688.5859375,99395.47
2025-10-23,110069.7265625,98795.695
2025-10-24,111033.921875,101487.71
2025-10-25,111641.7265625,102118.2
2025-10-26,114472.4453125,102317.47
2025-10-27,114119.328125,104880.5
2025-10-28,112956.1640625,103786.29
2025-10-29,110055.3046875,102483.125
2025-10-30,108305.546875,99826.89
2025-10-31,109556.1640625,98977.26
2025-11-01,110064.015625,101099.984
2025-11-02,110639.625,101818.72
2025-11-03,106547.5234375,102423.92
2025-11-04,101590.5234375,98227.234
2025-11-05,103891.8359375,94142.625
2025-11-06,101301.2890625,97774.555
2025-11-07,103372.40625,95649.555
2025-11-08,102282.1171875,98190.67
2025-11-09,104719.640625,96976.86
2025-11-10,105996.59375,99496.22
2025-11-11,102997.46875,100482.32
2025-11-12,101663.1875,97131.055
2025-11-13,99697.4921875,96065.53
2025-11-14,94397.7890625,94523.53
2025-11-15,95549.1484375,89796.26
2025-11-16,94177.078125,91682.5
2025-11-17,92093.875,90832.26
2025-11-18,92948.875,89049.86
2025-11-19,91465.9921875,90069.33
2025-11-20,86631.8984375,88795.195
2025-11-21,85090.6875,84232.17
2025-11-22,84648.359375,82967.945
2025-11-23,86805.0078125,82986.27
2025-11-24,88270.5625,85376.99
2025-11-25,87341.890625,86890.8
2025-11-26,90518.3671875,85775.625
2025-11-27,91285.375,88514.64
