Date,Actual,Predicted
2024-11-17,89845.8515625,78852.375
2024-11-18,90542.640625,76332.44
2024-11-19,92343.7890625,73376.34
2024-11-20,94339.4921875,79270.875
2024-11-21,98504.7265625,79070.65
2024-11-22,98997.6640625,79940.68
2024-11-23,97777.28125,80507.055
2024-11-24,98013.8203125,82638.93
2024-11-25,93102.296875,78497.58
2024-11-26,91985.3203125,80727.414
2024-11-27,95962.53125,76671.68
2024-11-28,95652.46875,76054.21
2024-11-29,97461.5234375,81426.56
2024-11-30,96449.0546875,81646.59
2024-12-01,97279.7890625,80316.195
2024-12-02,95865.3046875,80159.195
2024-12-03,96002.1640625,83173.96
2024-12-04,98768.53125,80337.94
2024-12-05,96593.5703125,78481.945
2024-12-06,99920.7109375,85592.336
2024-12-07,99923.3359375,80582.84
2024-12-08,101236.015625,84356.03
2024-12-09,97432.71875,84392.03
2024-12-10,96675.4296875,85661.37
2024-12-11,101173.03125,79951.336
2024-12-12,100043.0,80413.31
2024-12-13,101459.2578125,89078.06
2024-12-14,101372.96875,84067.914
2024-12-15,104298.6953125,83491.07
2024-12-16,106029.71875,84938.33
2024-12-17,106140.6015625,89068.766
2024-12-18,100041.5390625,89063.8
2024-12-19,97490.953125,87541.14
2024-12-20,97755.9296875,82197.195
2024-12-21,97224.7265625,79194.664
2024-12-22,95104.9375,83837.09
2024-12-23,94686.2421875,82626.64
2024-12-24,98676.09375,78338.81
2024-12-25,99299.1953125,79436.08
2024-12-26,95795.515625,87893.18
2024-12-27,94164.859375,85174.38
2024-12-28,95163.9296875,78837.3
2024-12-29,93530.2265625,77457.69
2024-12-30,92643.2109375,82938.79
2024-12-31,93429.203125,79595.03
2025-01-01,94419.7578125,76061.766
2025-01-02,96886.875,80323.29
2025-01-03,98107.4296875,81775.086
2025-01-04,98236.2265625,83053.65
2025-01-05,98314.9609375,83756.95
2025-01-06,102078.0859375,83148.805
2025-01-07,96922.703125,82013.516
2025-01-08,95043.5234375,88457.13
2025-01-09,92484.0390625,82226.766
2025-01-10,94701.453125,77116.25
2025-01-11,94566.59375,77144.17
2025-01-12,94488.4375,83205.914
2025-01-13,94516.5234375,80988.125
2025-01-14,96534.046875,77963.26
2025-01-15,100504.4921875,81774.6
2025-01-16,99756.90625,83399.27
2025-01-17,104462.0390625,87334.57
2025-01-18,104408.0703125,83604.62
2025-01-19,101089.609375,88174.34
2025-01-20,102016.6640625,88107.89
2025-01-21,106146.265625,82470.93
2025-01-22,103653.0703125,84464.65
2025-01-23,103960.171875,91658.9
2025-01-24,104819.484375,86892.49
2025-01-25,104714.6484375,83344.59
2025-01-26,102682.5,88620.7
2025-01-27,102087.6875,88036.75
2025-01-28,101332.4765625,84034.195
2025-01-29,103703.2109375,83456.734
2025-01-30,104735.3046875,85588.43
