Date,Actual,Predicted
2024-06-18,2455.11,2452.4558
2024-06-19,2491.74,2452.9915
2024-06-20,2497.82,2484.4695
2024-06-21,2489.91,2490.9207
2024-06-24,2542.42,2486.2559
2024-06-25,2547.21,2529.8562
2024-06-26,2541.43,2535.0303
2024-06-27,2547.78,2534.4072
2024-06-28,2561.27,2537.6064
2024-07-01,2553.09,2551.7117
2024-07-02,2528.44,2544.406
2024-07-03,2543.64,2522.8088
2024-07-04,2549.11,2536.1904
2024-07-05,2518.89,2540.7605
2024-07-08,2539.4,2514.7708
2024-07-09,2543.85,2531.7307
2024-07-10,2521.39,2535.0066
2024-07-11,2547.69,2517.0269
2024-07-12,2566.19,2537.889
2024-07-15,2569.86,2554.3838
2024-07-16,2485.93,2558.6675
2024-07-17,2454.63,2483.466
2024-07-18,2496.44,2461.1335
2024-07-19,2476.38,2494.3523
2024-07-22,2481.28,2476.1375
2024-07-23,2445.06,2479.6475
2024-07-24,2431.72,2443.95
2024-07-25,2415.63,2434.5774
2024-07-26,2407.15,2417.103
2024-07-29,2419.12,2410.3953
2024-07-30,2384.77,2418.9548
2024-07-31,2421.49,2386.3083
2024-08-01,2374.62,2420.9626
2024-08-02,2339.16,2372.9175
2024-08-05,2266.27,2345.0051
2024-08-06,2237.76,2272.5461
2024-08-07,2236.35,2250.695
2024-08-08,2264.1,2242.8965
2024-08-09,2258.52,2268.3413
2024-08-12,2335.65,2259.322
2024-08-13,2330.32,2330.6262
2024-08-14,2344.14,2329.912
2024-08-16,2421.06,2345.1838
2024-08-19,2426.89,2413.1836
2024-08-20,2383.43,2419.6323
2024-08-21,2401.57,2385.5537
2024-08-22,2400.05,2400.4607
2024-08-23,2401.25,2400.6223
2024-08-26,2395.38,2402.7454
2024-08-27,2396.22,2392.9495
2024-08-28,2383.94,2394.971
2024-08-29,2403.14,2383.4788
2024-08-30,2412.16,2401.2239
2024-09-02,2456.07,2409.1868
2024-09-03,2409.5,2450.2705
2024-09-04,2403.12,2405.166
2024-09-05,2371.94,2404.8533
2024-09-06,2318.2,2371.7505
2024-09-09,2330.89,2324.7307
2024-09-10,2307.54,2333.3467
2024-09-11,2262.33,2312.2354
2024-09-12,2294.32,2268.7334
2024-09-13,2336.62,2295.247
2024-09-16,2294.76,2333.783
2024-09-17,2334.86,2295.9802
2024-09-18,2326.69,2334.257
2024-09-19,2326.8,2324.1633
2024-09-20,2279.98,2330.1704
2024-09-23,2286.81,2279.6377
2024-09-24,2337.49,2291.829
2024-09-25,2346.26,2335.8813
2024-09-26,2366.47,2345.4517
2024-09-27,2382.95,2363.637
2024-09-30,2324.13,2379.4485
2024-10-01,2315.86,2324.4065
2024-10-02,2317.7,2318.8435
2024-10-03,2280.66,2319.1675
2024-10-04,2291.53,2286.4517
2024-10-07,2291.51,2293.4517
2024-10-08,2284.75,2292.4478
2024-10-09,2321.28,2286.9248
2024-10-10,2308.16,2318.0068
2024-10-11,2333.75,2306.1523
2024-10-14,2327.5,2332.8975
2024-10-15,2322.68,2324.5535
2024-10-16,2341.0,2324.2253
2024-10-17,2283.98,2339.3472
2024-10-18,2303.33,2286.1345
2024-10-21,2278.75,2306.571
2024-10-22,2250.38,2279.8054
2024-10-23,2256.21,2256.914
2024-10-24,2245.55,2257.5024
2024-10-25,2245.25,2249.5305
2024-10-28,2245.79,2247.6882
2024-10-29,2284.76,2246.7896
2024-10-30,2230.54,2283.6807
2024-10-31,2205.47,2230.0781
2024-11-04,2252.86,2211.44
2024-11-05,2236.48,2252.3713
2024-11-06,2241.24,2239.4763
2024-11-07,2310.43,2244.3225
2024-11-08,2298.3,2306.1965
2024-11-12,2255.73,2298.325
2024-11-13,2232.69,2259.3726
2024-11-14,2247.93,2234.6594
2024-11-15,2188.75,2253.552
2024-11-18,2184.7,2195.2307
2024-11-19,2123.35,2191.063
2024-11-20,2144.68,2129.3796
2024-11-21,2178.03,2151.1626
2024-11-22,2194.06,2178.708
2024-11-25,2202.76,2197.1067
2024-11-26,2199.85,2203.847
2024-11-27,2186.69,2200.7944
2024-11-28,2187.08,2189.5193
2024-11-29,2191.12,2191.648
2024-12-02,2247.36,2197.2144
2024-12-03,2240.58,2248.1719
2024-12-04,2268.14,2242.7751
2024-12-05,2310.78,2269.5212
2024-12-06,2310.0,2308.7175
2024-12-09,2315.74,2312.1511
2024-12-10,2317.3,2315.3787
2024-12-11,2296.1,2316.3904
2024-12-12,2276.69,2298.7717
2024-12-13,2273.12,2279.3904
2024-12-16,2270.66,2275.9937
2024-12-17,2211.89,2274.0332
2024-12-18,2226.58,2218.7659
2024-12-19,2225.51,2230.8325
2024-12-20,2200.39,2228.8496
2024-12-23,2202.17,2206.113
2024-12-27,2204.19,2204.7388
2024-12-30,2192.01,2207.8105
2025-01-02,2227.13,2196.86
2025-01-03,2237.57,2228.1755
2025-01-07,2257.67,2238.277
2025-01-08,2229.48,2258.0176
2025-01-09,2247.94,2229.7402
2025-01-10,2257.16,2250.3987
2025-01-13,2221.3,2257.5837
2025-01-14,2238.04,2225.4255
2025-01-15,2285.51,2240.5823
2025-01-16,2278.58,2283.611
2025-01-17,2307.26,2279.9878
2025-01-20,2324.8,2306.1184
2025-01-21,2332.87,2323.548
2025-01-22,2362.75,2332.1912
2025-01-23,2363.24,2359.6392
2025-01-24,2378.78,2362.1265
2025-01-27,2376.4,2377.699
2025-01-28,2399.02,2374.2014
2025-01-29,2398.68,2397.267
2025-01-30,2441.23,2396.312
2025-01-31,2433.77,2436.8962
2025-02-03,2390.37,2430.3281
2025-02-04,2414.96,2391.5176
2025-02-05,2394.72,2412.658
2025-02-06,2460.45,2394.7046
2025-02-07,2488.16,2456.8474
2025-02-10,2507.54,2477.611
2025-02-11,2535.24,2495.6096
2025-02-12,2568.72,2521.2778
2025-02-13,2594.92,2554.429
2025-02-14,2575.77,2578.315
2025-02-17,2596.79,2560.6775
2025-02-18,2671.05,2584.2588
2025-02-19,2634.88,2642.6157
2025-02-20,2613.76,2615.4844
2025-02-21,2618.17,2604.3997
2025-02-24,2555.74,2602.5176
2025-02-25,2572.05,2553.1633
2025-02-26,2620.35,2565.2747
2025-02-27,2590.06,2601.3403
2025-02-28,2579.52,2576.968
2025-03-03,2601.65,2570.1316
2025-03-04,2499.54,2586.701
2025-03-05,2591.79,2499.8232
2025-03-06,2638.92,2581.2363
2025-03-07,2642.59,2608.3145
2025-03-10,2589.87,2620.8152
2025-03-11,2584.04,2576.576
2025-03-12,2626.79,2575.6692
2025-03-13,2683.05,2608.4824
2025-03-14,2754.38,2656.708
2025-03-17,2777.61,2717.6797
2025-03-18,2799.0200000000004,2743.9246
2025-03-19,2779.33,2757.7341
2025-03-20,2753.23,2737.3645
2025-03-21,2725.0699999999997,2717.7869
2025-03-24,2767.76,2699.9436
2025-03-25,2800.29,2735.964
2025-03-26,2769.17,2753.2659
2025-03-27,2780.04,2726.593
2025-03-28,2747.7,2741.0232
2025-03-31,2689.05,2715.062
2025-04-01,2735.15,2673.539
2025-04-02,2747.9899999999993,2708.8428
2025-04-03,2635.7600000000007,2712.4368
2025-04-04,2467.99,2622.9414
2025-04-07,2431.32,2479.466
2025-04-08,2507.84,2450.6606
2025-04-09,2433.75,2513.4934
2025-04-10,2553.57,2438.6528
2025-04-11,2529.25,2543.9932
2025-04-14,2608.21,2538.1726
2025-04-15,2618.49,2594.332
2025-04-16,2615.84,2591.5715
2025-04-17,2643.5200000000004,2601.9102
2025-04-22,2700.41,2618.0564
2025-04-23,2783.0099999999998,2673.7466
2025-04-24,2797.29,2740.8972
2025-04-25,2793.6999999999994,2767.5713
2025-04-28,2805.35,2757.2678
2025-04-29,2810.88,2758.1902
2025-04-30,2737.86,2758.2434
2025-05-02,2811.07,2711.5344
2025-05-05,2784.03,2773.0447
2025-05-06,2718.17,2737.4883
2025-05-07,2748.53,2696.5754
2025-05-08,2767.86,2714.029
2025-05-09,2842.14,2727.5974
2025-05-12,2831.63,2786.7266
2025-05-13,2849.22,2786.8916
2025-05-14,2831.42,2803.5588
2025-05-15,2815.14,2781.4534
2025-05-16,2810.35,2772.1714
2025-05-19,2786.7,2766.3542
2025-05-20,2796.13,2755.8586
2025-05-21,2760.83,2759.1638
2025-05-22,2738.74,2730.2222
2025-05-23,2716.8800000000006,2711.754
2025-05-26,2792.0,2694.2405
2025-05-27,2813.7099999999996,2749.0479
2025-05-28,2836.66,2764.3613
2025-05-29,2785.96,2786.1768
2025-05-30,2771.86,2750.3489
2025-06-02,2755.26,2740.2307
2025-06-03,2731.3,2722.5374
2025-06-04,2769.33,2710.0432
2025-06-05,2734.31,2735.4482
2025-06-06,2699.85,2702.5369
2025-06-09,2732.67,2683.2349
2025-06-10,2794.03,2705.2476
2025-06-11,2779.83,2744.3245
2025-06-12,2755.65,2742.501
2025-06-13,2707.8600000000006,2728.3967
2025-06-16,2715.12,2687.4458
