Date,Actual,Predicted
2024-05-07,2536.99,2592.7427525366616
2024-05-08,2550.72,2533.8559069873213
2024-05-09,2565.64,2566.0907504221655
2024-05-10,2523.05,2586.7705113824795
2024-05-13,2547.1,2509.6102189276053
2024-05-14,2557.21,2558.0725554261035
2024-05-15,2555.32,2565.1690030073005
2024-05-16,2562.83,2554.280712574258
2024-05-17,2574.96,2566.35950017535
2024-05-20,2593.1,2590.0720388810914
2024-05-21,2567.52,2607.924810016302
2024-05-22,2552.7,2555.7921865892727
2024-05-23,2541.37,2544.7616420203626
2024-05-24,2528.8,2532.5121811545937
2024-05-27,2530.08,2514.42029135604
2024-05-28,2505.97,2532.131656568997
2024-05-29,2463.98,2484.772951203937
2024-05-31,2485.53,2433.1110304151134
2024-06-03,2496.92,2498.601215553913
2024-06-04,2433.81,2505.6857884396277
2024-06-05,2445.33,2373.919137037647
2024-06-06,2462.49,2452.6033087612186
2024-06-07,2428.84,2471.9850067871243
2024-06-10,2428.58,2403.3684945400846
2024-06-11,2402.91,2428.13822305735
2024-06-12,2442.89,2386.928006352399
2024-06-13,2401.63,2463.234583715651
2024-06-14,2413.73,2376.1931530960846
2024-06-17,2458.79,2421.743479547483
2024-06-18,2455.11,2482.65747317062
2024-06-19,2491.74,2449.731642559225
2024-06-20,2497.82,2518.806587863348
2024-06-21,2489.91,2505.556526688762
2024-06-24,2542.42,2482.3313467031007
2024-06-25,2547.21,2581.861898895601
2024-06-26,2541.43,2553.593136363107
2024-06-27,2547.78,2535.451017094497
2024-06-28,2561.27,2556.460115958784
2024-07-01,2553.09,2579.9634793069104
2024-07-02,2528.44,2546.812615274772
2024-07-03,2543.64,2515.520385857386
2024-07-04,2549.11,2553.955852576075
2024-07-05,2518.89,2554.2622014980057
2024-07-08,2539.4,2497.060110861254
2024-07-09,2543.85,2549.987215399714
2024-07-10,2521.39,2548.130410567375
2024-07-11,2547.69,2509.348463520767
2024-07-12,2566.19,2562.4088076049725
2024-07-15,2569.86,2581.1380882535414
2024-07-16,2485.93,2574.3250587347284
2024-07-17,2454.63,2417.795160517365
2024-07-18,2496.44,2427.6423572659346
2024-07-19,2476.38,2514.9135009389083
2024-07-22,2481.28,2450.650132986575
2024-07-23,2445.06,2485.156917415256
2024-07-24,2431.72,2425.122498873072
2024-07-25,2415.63,2420.810329233118
2024-07-26,2407.15,2392.9689917395403
2024-07-29,2419.12,2394.4135657432807
2024-07-30,2384.77,2428.784813849512
2024-07-31,2421.49,2356.8031275656977
2024-08-01,2374.62,2442.9685745397096
2024-08-02,2339.16,2346.442021385043
2024-08-05,2266.27,2312.6500698102136
2024-08-06,2237.76,2219.2715079689387
2024-08-07,2236.35,2205.2375106365016
2024-08-08,2264.1,2234.563235815336
2024-08-09,2258.52,2305.3210680566917
2024-08-12,2335.65,2250.848629939227
2024-08-13,2330.32,2374.414334714749
2024-08-14,2344.14,2329.5369440781938
2024-08-16,2421.06,2363.762510669171
2024-08-19,2426.89,2448.7769921532163
2024-08-20,2383.43,2434.231594452851
2024-08-21,2401.57,2379.860028620977
2024-08-22,2400.05,2422.346790621345
2024-08-23,2401.25,2402.5900205428757
2024-08-26,2395.38,2400.2262059601785
2024-08-27,2396.22,2388.225209457951
2024-08-28,2383.94,2397.9966554119883
2024-08-29,2403.14,2374.492611562065
2024-08-30,2412.16,2411.416686382202
2024-09-02,2456.07,2417.966382965336
2024-09-03,2409.5,2475.242925199139
2024-09-04,2403.12,2400.9658002807687
2024-09-05,2371.94,2401.943973755251
2024-09-06,2318.2,2361.291090574768
2024-09-09,2330.89,2295.8014747716143
2024-09-10,2307.54,2334.8213253843846
2024-09-11,2262.33,2281.504026369488
2024-09-12,2294.32,2235.4468783106613
2024-09-13,2336.62,2300.6710939697023
2024-09-16,2294.76,2347.455748667644
2024-09-17,2334.86,2282.39852846954
2024-09-18,2326.69,2347.0429764334635
2024-09-19,2326.8,2324.6502137666193
2024-09-20,2279.98,2329.0307096195625
2024-09-23,2286.81,2260.9818697963037
2024-09-24,2337.49,2289.256777935795
2024-09-25,2346.26,2360.0958501117298
2024-09-26,2366.47,2353.4893634164278
2024-09-27,2382.95,2380.3173362009934
2024-09-30,2324.13,2406.749300807052
2024-10-01,2315.86,2283.2179917733606
2024-10-02,2317.7,2308.9710485474866
2024-10-03,2280.66,2317.9541141835566
2024-10-04,2291.53,2254.7451732349596
2024-10-07,2291.51,2295.741300183877
2024-10-08,2284.75,2290.316086483916
2024-10-09,2321.28,2277.026771130224
2024-10-10,2308.16,2330.748450135317
2024-10-11,2333.75,2303.0596885365203
2024-10-14,2327.5,2348.5747064890666
2024-10-15,2322.68,2325.5849466852087
2024-10-16,2341.0,2320.8138026499505
2024-10-17,2283.98,2351.352384955438
2024-10-18,2303.33,2246.438463394972
2024-10-21,2278.75,2311.0608060672052
2024-10-22,2250.38,2261.377424883054
2024-10-23,2256.21,2227.177457750465
2024-10-24,2245.55,2258.8689591081843
