Actual,Predicted,TCN_trend,TCN_volatility,TCN_momentum
2455.11,2465.1324036471788,-0.95254886,2.3803303,1.598866
2491.74,2462.2297389001405,-0.96794754,2.3757632,1.6493163
2497.82,2499.3855940939125,-1.0150226,2.4429023,1.6680181
2489.91,2506.384743327448,-1.0712004,2.414296,1.7260125
2542.42,2499.0076889794946,-1.0866504,2.3921185,1.7695181
2547.21,2551.4788070997038,-1.1530477,2.4342182,1.7377918
2541.43,2557.1757489183506,-1.2075455,2.4000607,1.8030035
2547.78,2551.553000769457,-1.2147901,2.3777146,1.820445
2561.27,2558.2550002860457,-1.2383697,2.3851745,1.8480545
2553.09,2571.8481380252115,-1.2681538,2.3681817,1.8470668
2528.44,2563.8495210230203,-1.2709738,2.3599706,1.8724372
2543.64,2539.137850847157,-1.24353,2.3476508,1.8894957
2549.11,2554.1504610921256,-1.2483739,2.3522482,1.8550869
2518.89,2559.4724262541285,-1.2577704,2.3319728,1.8364601
2539.4,2529.2931235427136,-1.2218665,2.3299985,1.8658907
2543.85,2549.729457225228,-1.2241414,2.3744936,1.8408532
2521.39,2554.0474169980844,-1.2401427,2.3389635,1.8253787
2547.69,2531.6880138262445,-1.2153689,2.3377676,1.852735
2566.19,2557.906052155629,-1.2258307,2.386757,1.8241017
2569.86,2576.4846247797277,-1.264787,2.366713,1.8177813
2485.93,2580.5770736481563,-1.2825319,2.3778105,1.8534491
2454.63,2496.5233306565847,-1.2018893,2.3229718,1.9246233
2496.44,2464.8254561412173,-1.1503602,2.2868645,1.9084089
2476.38,2505.9541872484688,-1.1475207,2.321816,1.7994143
2481.28,2485.054887135258,-1.1025499,2.2752113,1.7454643
2445.06,2490.0380095947967,-1.0714993,2.3707395,1.7486644
2431.72,2453.6751847629507,-1.030659,2.3324385,1.7586119
2415.63,2440.1803630550894,-1.0031435,2.325773,1.7543453
2407.15,2423.5059625648414,-0.9609456,2.3121061,1.7188971
2419.12,2414.6343307737993,-0.9232354,2.3248205,1.6948282
2384.77,2426.1012886834087,-0.9098234,2.3576136,1.6549165
2421.49,2391.4966866777013,-0.8512321,2.3414016,1.652224
2374.62,2428.0773661479734,-0.8930441,2.3733518,1.6280261
2339.16,2381.0840058339268,-0.83113015,2.330562,1.6385207
2266.27,2346.0439010372393,-0.7798267,2.3367193,1.6843679
2237.76,2272.2445615009647,-0.6506141,2.2707624,1.6512833
2236.35,2243.3348697605657,-0.5834151,2.266567,1.633785
2264.1,2241.0213592452806,-0.5098597,2.286244,1.5173745
2258.52,2268.920615486327,-0.49750006,2.3230975,1.4142253
2335.65,2263.9024845638655,-0.4555624,2.3445468,1.3716465
2330.32,2339.7645056523156,-0.56694615,2.3834517,1.3026025
2344.14,2334.3637184201552,-0.570267,2.3967512,1.3565546
2421.06,2347.61357935218,-0.6371862,2.3790214,1.4250938
2426.89,2425.749348581969,-0.80488354,2.428031,1.5012685
2383.43,2432.1193599765593,-0.8342212,2.4365065,1.5375161
2401.57,2389.1982352161376,-0.7991245,2.3716319,1.588283
2400.05,2408.4273581548487,-0.86463547,2.3784556,1.6539414
2401.25,2406.6183254352723,-0.86812073,2.3448634,1.6352022
2395.38,2407.9411430137097,-0.86214423,2.3664813,1.6429045
2396.22,2401.6296790051892,-0.8383571,2.370751,1.6158099
2383.94,2402.608889497978,-0.8461259,2.3665812,1.6247408
2403.14,2390.2808307167434,-0.827435,2.3578277,1.6263609
2412.16,2409.3388324013276,-0.85028726,2.369276,1.6095262
2456.07,2418.287389702599,-0.8616798,2.3726854,1.6015244
2409.5,2462.267782970495,-0.924443,2.413931,1.5907962
2403.12,2416.666642299237,-0.8907253,2.384431,1.6715193
2371.94,2410.653822524321,-0.89310217,2.377534,1.7002076
2318.2,2378.9209676422615,-0.8511595,2.3165169,1.6757122
2330.89,2324.9289175411373,-0.7548321,2.2940106,1.6832618
2307.54,2337.015357198318,-0.7455942,2.319155,1.6332469
2262.33,2312.454608087506,-0.6611396,2.311702,1.5557889
2294.32,2266.9842701758394,-0.57280135,2.303112,1.5527945
2336.62,2298.2669861406825,-0.5949688,2.3250053,1.4837289
2294.76,2339.954680585338,-0.63031703,2.3445277,1.4060041
2334.86,2298.8419735048924,-0.56728894,2.354153,1.4601955
2326.69,2338.6976306001397,-0.6386276,2.3740249,1.4608223
2326.8,2330.6979551291347,-0.64875805,2.3393662,1.4780251
2279.98,2331.4954523117713,-0.6640073,2.36052,1.5325143
2286.81,2284.556081814242,-0.59379923,2.3256965,1.5400796
2337.49,2291.5107311327533,-0.61277544,2.3201892,1.5472269
2346.26,2341.252236048582,-0.6548169,2.3443344,1.4534156
2366.47,2350.095681135839,-0.66090286,2.3712022,1.4569991
2382.95,2370.567668062581,-0.69263107,2.4016356,1.4725853
2324.13,2387.596540360652,-0.7445434,2.4035902,1.5100949
2315.86,2329.759139044805,-0.69567233,2.3599997,1.6007688
2317.7,2321.5785097348503,-0.697623,2.3315067,1.6104637
2280.66,2322.906800036914,-0.6881721,2.3201585,1.5733842
2291.53,2285.4045702467,-0.6085809,2.3022215,1.552881
2291.51,2295.771766647423,-0.59668565,2.3328724,1.5092888
2284.75,2295.4969852030736,-0.5780576,2.3278115,1.4651982
2321.28,2288.933663719286,-0.5597219,2.3425207,1.4731097
2308.16,2324.935723621865,-0.6060239,2.359278,1.4333942
2333.75,2311.983926919649,-0.5958036,2.3497531,1.4562159
2327.5,2337.846054063561,-0.64654374,2.3751764,1.483004
2322.68,2331.5388877895543,-0.64442956,2.3546658,1.4803367
2341.0,2327.356149739788,-0.65684354,2.3589966,1.5324883
2283.98,2345.4412214052995,-0.6836481,2.356562,1.508229
2303.33,2288.6268807510696,-0.60318375,2.3233619,1.544116
2278.75,2308.036571492507,-0.6372524,2.3318264,1.5416603
2250.38,2282.882416968609,-0.57676077,2.312421,1.4983593
2256.21,2254.964048734833,-0.53265154,2.3058882,1.5237012
2245.55,2260.770216581455,-0.5129783,2.3144486,1.4648985
2245.25,2250.5786634676037,-0.47593912,2.3081622,1.4321358
2245.79,2250.427774793511,-0.46504188,2.3277984,1.4300395
2284.76,2251.1456018539047,-0.4522351,2.3305223,1.4025894
2230.54,2289.5047992722757,-0.5097645,2.3495219,1.3789883
2205.47,2236.122850967771,-0.42827445,2.3244388,1.410542
2252.86,2211.102729402257,-0.41197127,2.3086324,1.4645967
2236.48,2258.0421248278176,-0.4677418,2.3143258,1.3892771
2241.24,2242.1342802870367,-0.4255119,2.3101842,1.3730361
2310.43,2246.8421688239314,-0.43175367,2.343097,1.3942649
2298.3,2315.17827927914,-0.51778805,2.361632,1.2913278
2255.73,2302.993856090284,-0.5175962,2.367417,1.3581476
2232.69,2260.673499483541,-0.48587796,2.3442628,1.4445701
2247.93,2237.4110327508633,-0.4981589,2.295099,1.5130553
2188.75,2252.5867554281226,-0.5033325,2.303627,1.4724048
2184.7,2194.641442080434,-0.37849358,2.2723367,1.4385754
2123.35,2190.6822309583495,-0.36399293,2.2900515,1.433998
2144.68,2129.893987274825,-0.23141494,2.2421188,1.3815107
2178.03,2151.2988349117973,-0.2518189,2.2821488,1.3672631
2194.06,2184.804877231763,-0.28196508,2.3049216,1.3207653
2202.76,2200.5721623294316,-0.32469147,2.3268788,1.3590076
2199.85,2209.288083374638,-0.32956883,2.3479686,1.3557396
2186.69,2206.3755007209897,-0.32767698,2.3338208,1.3469532
2187.08,2193.257865040908,-0.31305227,2.319195,1.3539919
2191.12,2193.6251002211943,-0.31580788,2.311597,1.3493859
2247.36,2197.676725245269,-0.31775266,2.3145964,1.3425605
2240.58,2253.3853388839384,-0.40166122,2.343648,1.3088982
2268.14,2246.770773592416,-0.38450456,2.3496869,1.3087343
2310.78,2273.781726645022,-0.44072407,2.3650913,1.320667
2310.0,2315.4338896733416,-0.52416337,2.3808596,1.3275619
2315.74,2314.08518175689,-0.56197435,2.378597,1.4101951
2317.3,2319.6086371613565,-0.59266573,2.3802354,1.4527893
2296.1,2321.281750178878,-0.62117124,2.3589852,1.4789134
2276.69,2300.528618689327,-0.6072699,2.3426232,1.5226698
2273.12,2281.171009059129,-0.5828699,2.3261168,1.533808
2270.66,2277.3747101566037,-0.56915313,2.3154023,1.5099361
2211.89,2274.940693987135,-0.5441424,2.3180819,1.4749376
2226.58,2217.308583873531,-0.4323293,2.295141,1.4705683
2225.51,2231.8352479107934,-0.45152664,2.3024333,1.4504378
2200.39,2231.2927179170015,-0.40999717,2.3114772,1.3830968
2202.17,2206.469535073455,-0.3706822,2.3045692,1.4026794
2204.19,2208.4109793901434,-0.35698134,2.3142533,1.372808
2192.01,2210.5365620112566,-0.34833854,2.313043,1.3477185
2227.13,2198.4806883166452,-0.32740843,2.3129406,1.3564535
2237.57,2233.3203258667327,-0.3768923,2.3317056,1.3286474
2257.67,2243.734174294474,-0.3850573,2.3393354,1.3119538
2229.48,2263.3791018153274,-0.4311245,2.3620956,1.3429306
2247.94,2235.4988736803443,-0.39276314,2.34071,1.3598812
2257.16,2253.2805561974733,-0.45424688,2.3358872,1.4021847
2221.3,2262.503732668781,-0.4578051,2.3300653,1.3676643
2238.04,2226.986345577086,-0.4156453,2.3236103,1.4250114
2285.51,2243.4511550716675,-0.44477487,2.322832,1.4096826
2278.58,2290.4983658898354,-0.49340904,2.3359685,1.3274541
2307.26,2283.4144748641147,-0.501564,2.3523335,1.3907747
2324.8,2311.533171180572,-0.54851854,2.3801706,1.3962913
2332.87,2328.493604317482,-0.59436417,2.3748085,1.4114695
2362.75,2336.8759048851007,-0.63801396,2.3812137,1.4757967
2363.24,2366.9251838989057,-0.69325924,2.3946953,1.4800676
2378.78,2367.880724261308,-0.7178799,2.3838983,1.5160761
2376.4,2383.9557920101993,-0.7585163,2.394424,1.549584
2399.02,2381.7084964774663,-0.7693053,2.3770938,1.5596218
2398.68,2404.701331501765,-0.815465,2.3878493,1.5770584
2441.23,2404.513161564425,-0.82435584,2.3818626,1.5871842
2433.77,2447.2755398034938,-0.89331996,2.41094,1.5862415
2390.37,2440.589602837162,-0.9068886,2.4084263,1.6383288
2414.96,2397.777992262491,-0.8692265,2.3747554,1.6974287
2394.72,2422.0034469758325,-0.9031273,2.3622072,1.6608183
2460.45,2401.477495663295,-0.874015,2.3283074,1.6501346
2488.16,2466.788008651843,-0.9470349,2.3878574,1.5980233
2507.54,2495.067112789394,-0.98945343,2.4458966,1.6234642
2535.24,2514.7572455176332,-1.0417392,2.4127648,1.6354263
2568.72,2544.2895502563997,-1.133994,2.4419243,1.7407991
2594.92,2578.4595039773917,-1.2121794,2.4478536,1.7721322
2575.77,2605.500249625079,-1.2856753,2.436966,1.8219556
2596.79,2586.8544023903432,-1.3077955,2.3853505,1.886308
2671.05,2608.288786496327,-1.3500516,2.401034,1.9130125
2634.88,2682.8448037560174,-1.4458389,2.434428,1.8740162
2613.76,2646.9050685023585,-1.4526155,2.365563,1.9536949
2618.17,2625.7659351956618,-1.4530762,2.3238275,1.9890697
2555.74,2630.2403467667755,-1.4647155,2.3180242,1.9963707
2572.05,2567.3719925035234,-1.3987111,2.2215247,1.9903257
2620.35,2583.638611478832,-1.3766267,2.2948875,1.9565954
2590.06,2631.7337760972996,-1.4007185,2.3446538,1.8769788
2579.52,2601.4519865666857,-1.3771062,2.3090746,1.9076343
2601.65,2591.06539354562,-1.3585143,2.3574731,1.9469097
2499.54,2613.1770887100533,-1.3815457,2.3480945,1.9113597
2591.79,2510.468311113646,-1.2803684,2.2345324,1.9577498
2638.92,2603.0123017634164,-1.3451126,2.3727083,1.886131
2642.59,2650.4266939492986,-1.408064,2.4173546,1.8729877
2589.87,2653.1891861637837,-1.396947,2.3268905,1.7931879
2584.04,2601.7065956939227,-1.4069691,2.30622,1.983989
2626.79,2595.76468052512,-1.4062537,2.3289757,1.9989247
2683.05,2638.607570553795,-1.4352498,2.329946,1.9195683
2754.38,2695.2621814842296,-1.4954972,2.3771217,1.906831
2777.61,2766.991585882558,-1.5915985,2.4843516,1.9739395
2799.0200000000004,2790.657813141839,-1.6818641,2.4526887,2.0879426
2779.33,2812.6277562881364,-1.7615821,2.3771207,2.1582923
2753.23,2792.9993108764634,-1.780483,2.3142455,2.1755142
2725.0699999999997,2766.8049267788206,-1.7816677,2.267023,2.204678
2767.76,2738.4848098451025,-1.7513313,2.2241602,2.1815014
2800.29,2781.4951955697243,-1.7647293,2.249229,2.12623
2769.17,2814.2219341852256,-1.7948239,2.2868688,2.1297402
2780.04,2782.948858685884,-1.7824134,2.242006,2.1574826
2747.7,2793.8345948764427,-1.8035722,2.2784946,2.2082653
2689.05,2761.3220305141867,-1.7855297,2.2296247,2.2102463
2735.15,2702.2440871918047,-1.7380874,2.1711566,2.2046247
2747.9899999999993,2748.5978457089395,-1.724228,2.2409103,2.1182618
2635.7600000000007,2761.559447016633,-1.7338269,2.2394474,2.110506
2467.99,2648.4582924460815,-1.6351824,2.1565263,2.1349247
2431.32,2479.2167098944005,-1.4217641,2.0633092,2.174757
2507.84,2441.8228284738466,-1.2280282,2.0441966,2.0035214
2433.75,2518.331631405208,-1.2522287,2.2178802,1.8872881
2553.57,2442.5313480859995,-1.0663564,2.2241151,1.7797163
2529.25,2561.5785820967103,-1.1488664,2.424998,1.665904
2608.21,2538.776941743055,-1.2009751,2.4039679,1.779244
2618.49,2617.1119908508754,-1.2636751,2.404704,1.6978424
2615.84,2630.1056410267242,-1.4124701,2.4215562,1.914117
2643.5200000000004,2627.166591287954,-1.3835479,2.3499982,1.8750997
2700.41,2655.5018037508626,-1.4470575,2.395042,1.9440746
2783.0099999999998,2712.7967537384666,-1.5232141,2.4183745,1.9378672
2797.29,2795.9508527085036,-1.6588773,2.4762466,2.004994
2793.6999999999994,2810.581567414909,-1.7252287,2.4397829,2.0981822
2805.35,2807.494869468824,-1.7844055,2.3161592,2.1712284
2810.88,2819.2580096555603,-1.8214865,2.3159904,2.1976593
2737.86,2824.9919504301297,-1.845388,2.267283,2.194121
2811.07,2751.4307849265056,-1.8031678,2.214466,2.2381487
2784.03,2825.125676744743,-1.8297038,2.2844594,2.1708353
2718.17,2797.9633922066328,-1.8342121,2.2427652,2.2195148
2748.53,2731.703335129105,-1.7854707,2.1389718,2.2062044
2767.86,2762.143262640863,-1.7739642,2.2351167,2.1977322
2842.14,2781.7193451475728,-1.7883339,2.205956,2.166
2831.63,2856.375226406026,-1.8238989,2.3087895,2.098958
2849.22,2845.731726695682,-1.8471898,2.3293872,2.2044547
2831.42,2863.673574338328,-1.8947182,2.275975,2.224309
2815.14,2845.7969541134435,-1.9085896,2.2464232,2.2550192
2810.35,2829.477272246651,-1.9085423,2.2023554,2.2699802
2786.7,2824.6373323235257,-1.8880427,2.2015347,2.229816
2796.13,2800.832760518485,-1.8746899,2.1710098,2.2455785
2760.83,2810.2998258940747,-1.8614464,2.19342,2.223163
2738.74,2774.7084734775067,-1.8326972,2.1735928,2.2321033
2716.8800000000006,2752.4098205162704,-1.8034934,2.1731427,2.2393181
2792.0,2730.3137028466917,-1.7536895,2.182696,2.1942108
2813.7099999999996,2805.950444795894,-1.787467,2.2539444,2.1279435
2836.66,2827.6749100362485,-1.8091183,2.3196225,2.1608605
2785.96,2850.974102848762,-1.843489,2.2761018,2.1538572
2771.86,2799.885478187807,-1.842313,2.253649,2.2334762
2755.26,2785.712857775782,-1.838435,2.2313433,2.245121
2731.3,2769.060085453,-1.812835,2.1828632,2.20086
2769.33,2744.9255654756885,-1.7787614,2.1540928,2.1779797
2734.31,2783.107484753742,-1.7717664,2.2392654,2.1280315
2699.85,2747.8440667629307,-1.7586132,2.209683,2.1714725
2732.67,2713.035047024483,-1.715471,2.2208207,2.1844692
2794.03,2746.0252918755386,-1.7055192,2.2655299,2.1118271
2779.83,2807.851554990419,-1.7639394,2.2984464,2.0964024
2755.65,2793.5626624965657,-1.7611238,2.2885861,2.1220927
2707.8600000000006,2769.2747484244846,-1.7691325,2.2532866,2.1677945
2715.12,2721.1029666432005,-1.7368723,2.2295086,2.1968138
2729.31,2728.4761998195954,-1.7284389,2.2059953,2.154397
2723.15,2742.7463406981615,-1.7151787,2.222092,2.1066527
2735.44,2736.4753645364194,-1.7006975,2.2439287,2.1138558
2691.54,2748.72081526019,-1.6956463,2.299206,2.1080885
2762.7,2704.5287793793364,-1.6709758,2.2629557,2.1421509
2749.16,2776.1561437966106,-1.7126632,2.3194258,2.0836506
2813.09,2762.536489045373,-1.7231832,2.3137276,2.1378927
2815.6600000000003,2827.0523316169924,-1.7790288,2.3063583,2.0780592
2845.37,2829.5583591032446,-1.8186704,2.343812,2.1838634
2826.5,2859.7736696077145,-1.8642168,2.2740471,2.158999
2839.82,2840.764009864257,-1.8854109,2.2686071,2.2354689
2887.1700000000005,2854.2689911215966,-1.9069178,2.247846,2.2367811
2864.98,2901.962987540723,-1.9411609,2.2794645,2.204908
2861.78,2879.769053246595,-1.961787,2.2111464,2.2705302
2889.54,2876.5548972280585,-1.9663303,2.2057564,2.292765
2897.67,2904.5758744394416,-1.991135,2.206108,2.2788274
2850.58,2912.863377822893,-2.0194342,2.173921,2.3136182
2860.93,2865.351774872295,-1.9888186,2.1614895,2.3310666
2879.77,2875.7807516340345,-1.9933302,2.1708126,2.3364768
2870.5300000000007,2894.8139923997037,-1.9980987,2.163344,2.2959156
2868.56,2885.5348087103444,-1.9996781,2.1398664,2.3092427
2905.75,2883.456713119924,-1.9905006,2.1824846,2.3233325
2964.25,2920.9570758931927,-2.013815,2.2001495,2.2993536
