Actual,Predicted
38229.109375,38027.763793517035
38179.4609375,38242.61528725255
38356.05859375,38171.33935415563
38385.73046875,38361.18320984548
38920.26171875,38400.678032813994
38787.37890625,38900.897377437555
39069.6796875,38821.439139845315
38946.9296875,39036.3122793765
38617.1015625,38972.409441168675
39103.21875,38593.85603109698
38646.109375,39082.767477267305
38900.01953125,38685.165162002435
38855.37109375,38855.92009516318
38556.87109375,38894.51949231693
38054.12890625,38540.47719080423
38487.8984375,38063.84797277678
38923.03125,38450.629220733885
38837.4609375,38949.89241704738
38490.171875,38855.24858207093
38703.51171875,38497.40918671622
38683.9296875,38674.55269795144
39038.16015625,38693.39541704316
39134.7890625,39021.90680439058
38876.7109375,39162.417762911
38720.46875,38872.11397080129
38814.55859375,38710.85817586211
38102.44140625,38803.477142416596
38482.109375,38124.585175358945
38570.76171875,38437.75272070169
38633.01953125,38613.59796365364
38596.46875,38618.09892347185
38804.6484375,38619.63401577046
39173.1484375,38785.95002633729
39667.0703125,39174.10982868984
39341.5390625,39667.04683736799
39583.078125,39367.359945913704
39631.05859375,39543.017497766145
40074.69140625,39645.9454761854
40580.76171875,40043.820497778026
40913.6484375,40601.10024329606
40912.37109375,40915.43481779856
40780.69921875,40918.66682062601
41580.171875,40767.16508061164
41831.98828125,41546.256080053005
42224.01953125,41865.70784645539
41190.6796875,42205.904809404965
41275.078125,41239.89386466945
41097.69140625,41190.714482966156
40126.3515625,41138.38417446947
40063.7890625,40118.05884005232
39599.0,40042.305570734105
39594.390625,39628.12382109334
39154.8515625,39564.39575413937
37869.51171875,39195.9610451903
37667.41015625,37865.120118712635
38468.62890625,37613.427731170435
38525.94921875,38469.365547846886
39101.8203125,38562.95094150462
38126.328125,39093.69969957671
35909.69921875,38187.4004981309
31458.419921875,35861.363700734255
34675.4609375,31186.731894642773
35089.62109375,34531.94129149667
34831.1484375,35444.49869525399
35025.0,34665.804537324395
36232.51171875,35131.18498404613
36442.4296875,36078.64958932225
36726.640625,36424.215886860904
38062.671875,36685.4713545882
37388.62109375,38053.94465711912
38062.921875,37367.37083807779
37951.80078125,37980.31389492971
38211.01171875,38008.907891992596
38364.26953125,38110.32190152931
38110.21875,38409.32753806096
38288.62109375,38082.979294109246
38371.76171875,38282.262962471
38362.53125,38376.29738018047
38647.75,38347.39383779589
