Actual,Predicted,TCN_trend,TCN_volatility,TCN_momentum
89845.8515625,90558.47069558142,2.9874067,4.753385,-0.47891802
90542.640625,89845.81675044225,2.9890184,4.8029633,-0.9285532
92343.7890625,90542.623929349,2.9932015,4.8069086,-0.7912388
94339.4921875,92343.79357945977,2.993723,4.7934237,-0.5270835
98504.7265625,94339.507631199,2.9933925,4.7854323,-0.4808148
98997.6640625,98504.73879725582,2.9932816,4.815691,-0.54850936
97777.28125,98997.67288349342,2.994545,4.835502,-0.6218291
98013.8203125,97777.29831306588,2.9955947,4.8551664,-0.6283435
93102.296875,98013.8400835131,2.9959583,4.8538055,-0.6059103
91985.3203125,93102.31176183057,2.9942648,4.8390193,-0.58890736
95962.53125,91985.31958119874,2.9944205,4.8321514,-0.70119476
95652.46875,95962.54168331341,2.9943683,4.8196087,-0.5641265
97461.5234375,95652.48182179414,2.9940379,4.814451,-0.54106796
96449.0546875,97461.52678966093,2.995568,4.844132,-0.72664845
97279.7890625,96449.07412355239,2.995254,4.8464108,-0.58618546
95865.3046875,97279.86911716514,2.9952774,4.8277054,-0.41477787
96002.1640625,95865.47646197013,2.9939857,4.8241816,-0.33173075
98768.53125,96002.17170549736,2.9940193,4.843913,-0.66493344
96593.5703125,98768.54614952346,2.9951339,4.8402066,-0.59739715
99920.7109375,96593.58777674503,2.9954944,4.847551,-0.6006779
99923.3359375,99920.7200011269,2.9966025,4.858739,-0.746193
101236.015625,99923.39199483811,2.9957533,4.8502154,-0.47801322
97432.71875,101236.04227530122,2.996313,4.8556786,-0.5776519
96675.4296875,97432.7433703947,2.9957626,4.865178,-0.6062389
101173.03125,96675.44120174879,2.9960465,4.8652396,-0.7453656
100043.0,101173.14751101629,2.996307,4.8387203,-0.3854769
101459.2578125,100043.04774893627,2.9954123,4.8467417,-0.49268812
101372.96875,101459.27029678594,2.9965699,4.8757358,-0.89080167
104298.6953125,101372.99574526686,2.996719,4.8749094,-0.6249024
106029.71875,104298.78366293988,2.9974127,4.862737,-0.4391056
106140.6015625,106029.83015840323,2.9969153,4.8673725,-0.41485468
100041.5390625,106140.62334896825,2.9967852,4.8907895,-0.7861366
97490.953125,100041.56006544652,2.9969704,4.8943815,-0.81315976
97755.9296875,97490.97332689064,2.9976354,4.8843293,-0.7265805
97224.7265625,97755.99914064907,2.9966192,4.849937,-0.44980186
95104.9375,97224.78472874509,2.9945962,4.83615,-0.45613396
94686.2421875,95104.94311743636,2.9947991,4.855236,-0.7860867
98676.09375,94686.25049080142,2.9957473,4.8514194,-0.6964982
99299.1953125,98676.53160719998,2.9963875,4.821063,-0.23854525
95795.515625,99300.10648502086,2.9947288,4.8200374,-0.15217905
94164.859375,95795.52658297309,2.993711,4.8535876,-0.6759271
95163.9296875,94164.87034249846,2.9950829,4.858608,-0.7013489
93530.2265625,95164.12405192059,2.9957304,4.8277636,-0.32085073
92643.2109375,93530.34964513389,2.9938793,4.8158207,-0.35630092
93429.203125,92643.2094627081,2.9932644,4.8374014,-0.7646717
94419.7578125,93429.20423503754,2.9942963,4.829708,-0.6624764
96886.875,94419.86815028013,2.9951565,4.811577,-0.36648017
98107.4296875,96886.94949343514,2.9949083,4.8172817,-0.41337633
98236.2265625,98107.45770264647,2.9941366,4.834316,-0.52753526
98314.9609375,98236.25020699734,2.9949248,4.8450193,-0.5645401
102078.0859375,98314.99797907159,2.9960127,4.853773,-0.5298987
96922.703125,102078.12314919231,2.996378,4.852744,-0.53236467
95043.5234375,96922.72656437736,2.9948292,4.854767,-0.5859533
92484.0390625,95043.52465809493,2.9960241,4.870331,-0.9132321
94701.453125,92484.04818345445,2.9957032,4.8433504,-0.6443986
94566.59375,94701.52351099199,2.9948268,4.812428,-0.41258413
94488.4375,94566.63292113716,2.993532,4.8123574,-0.46445316
94516.5234375,94488.43644367297,2.993952,4.839392,-0.7778468
96534.046875,94516.55169982248,2.9951324,4.8283505,-0.51350856
100504.4921875,96534.37718149899,2.995336,4.820135,-0.26659632
99756.90625,100504.6596155077,2.9947705,4.8170595,-0.3356707
