Actual,Predicted,TCN_trend,TCN_volatility,TCN_momentum
18067.91015625,18319.991568276935,2.777807,1.6181269,2.6841285
18254.1796875,18254.37534177848,2.7850838,1.6311175,2.6918051
18163.51953125,18443.656396810286,2.8028488,1.6541637,2.7042456
18325.580078125,18351.640564182933,2.7922807,1.6379132,2.7100077
18177.619140625,18516.864555953343,2.8067229,1.6279516,2.7162716
18155.240234375,18365.61475129222,2.7835407,1.6666231,2.6916041
18210.55078125,18342.8472778432,2.7905495,1.6595814,2.695178
18235.44921875,18399.096774517984,2.7771063,1.6760511,2.685696
18290.66015625,18424.856295964742,2.7915242,1.6442838,2.6992557
18164.060546875,18480.984052617114,2.7952957,1.6506462,2.7086816
18374.529296875,18351.944773384184,2.7843971,1.656836,2.6947324
18450.48046875,18566.22728608836,2.7986836,1.663018,2.707839
18475.44921875,18644.607251139125,2.805748,1.6073432,2.7338889
18472.05078125,18670.033470777962,2.8186347,1.6013358,2.74034
18236.189453125,18666.30199554739,2.807323,1.6208547,2.736238
18407.220703125,18425.879193326924,2.78791,1.6314853,2.7094615
18534.560546875,18599.945230119643,2.794501,1.6427774,2.711412
18748.1796875,18730.69002332172,2.80543,1.590431,2.7378201
18590.890625,18949.32876252321,2.8396282,1.5384692,2.7777278
18518.029296875,18788.78626853653,2.825314,1.5526514,2.7706745
18437.30078125,18713.61365732621,2.8153338,1.5952127,2.7480557
18354.759765625,18631.28880457833,2.789926,1.6100512,2.7276382
18171.9296875,18547.55643818177,2.7937145,1.5889301,2.7192416
18407.0703125,18360.63319104125,2.7835903,1.6200644,2.7014349
18557.69921875,18600.365940119827,2.8041453,1.6077008,2.7185435
18387.4609375,18754.967583779275,2.8185222,1.5552223,2.7577894
18298.720703125,18581.40212425844,2.8200226,1.5547891,2.7524247
18417.55078125,18489.3141233183,2.7988253,1.6420081,2.7178726
18320.669921875,18610.836676397743,2.7916126,1.6251094,2.7187283
18411.1796875,18512.912069785023,2.7945476,1.5836765,2.723795
18508.650390625,18604.547724152886,2.8069897,1.6064917,2.7263966
18083.05078125,18704.00429063918,2.81056,1.6000628,2.7432377
17661.220703125,18270.34419970622,2.786761,1.6026585,2.711827
17339.0,17838.859932492975,2.7505453,1.7154055,2.6308289
17354.3203125,17510.132769960932,2.6864114,1.7812116,2.5462227
17615.150390625,17525.848079835585,2.702574,1.7617328,2.536971
17680.400390625,17791.658225164265,2.7358365,1.7465396,2.5745344
17722.880859375,17858.21469636663,2.7802546,1.7112464,2.63985
17726.470703125,17900.940921266174,2.7790465,1.7646724,2.6366513
17812.05078125,17904.53728659637,2.760528,1.7893411,2.6113443
17885.599609375,17991.819177845184,2.759043,1.7837236,2.6079571
18183.240234375,18067.010228176638,2.7680383,1.7516861,2.6333523
18322.400390625,18370.369701204105,2.7999206,1.7239822,2.6748557
18421.689453125,18512.79985653553,2.8157058,1.6689379,2.7192512
18357.51953125,18613.999928815603,2.8224294,1.6639414,2.7280838
18448.94921875,18548.511910516685,2.7999883,1.6861782,2.7094226
18493.390625,18642.03536732172,2.8006148,1.6646236,2.7134063
18633.099609375,18687.871611548988,2.7998703,1.634724,2.723425
18617.01953125,18830.86446839726,2.819916,1.5950205,2.7491431
18681.810546875,18814.730819047814,2.8185594,1.5844057,2.7571273
18782.2890625,18880.942413885357,2.8256161,1.5737964,2.7629912
18912.5703125,18983.62862542045,2.8240125,1.5644561,2.7705972
18906.919921875,19117.564286886056,2.839385,1.5166883,2.7907314
18930.849609375,19112.124008752755,2.8396342,1.5060799,2.7954702
18747.109375,19136.55955596251,2.84158,1.5040098,2.796423
18591.849609375,18949.01259711335,2.8227894,1.5192401,2.7780333
18576.5,18790.31509343236,2.8173301,1.535741,2.760957
18301.900390625,18774.20721861828,2.807542,1.5575796,2.7467191
18443.560546875,18494.600434883057,2.7989337,1.5474346,2.7318666
18265.919921875,18638.275677780417,2.81127,1.5721191,2.7344723
18330.26953125,18457.4415323907,2.7911963,1.5701628,2.7230625
18518.390625,18522.67310600469,2.8103044,1.5771449,2.7309587
18699.400390625,18714.32388421752,2.8087766,1.5835295,2.7434847
18633.109375,18900.211690507203,2.8394809,1.5169594,2.7797663
18726.080078125,18832.316363308357,2.8338706,1.5303622,2.7797103
18711.490234375,18926.475746273158,2.8330917,1.5538592,2.7740047
19002.380859375,18911.76754910269,2.8205216,1.5538683,2.7694135
18720.009765625,19209.67849702488,2.8472352,1.4956104,2.797843
18846.7890625,18921.726734842123,2.8286605,1.5051558,2.7845888
18996.630859375,19050.144549857534,2.8432071,1.5267324,2.785195
18918.5,19203.523126581164,2.8339915,1.5109395,2.7942982
19238.359375,19125.761044692485,2.849389,1.4479253,2.8051255
19473.630859375,19451.06830762099,2.8618112,1.4663947,2.8211317
19324.9296875,19694.16190770212,2.8804913,1.3813776,2.8526065
19213.140625,19543.18130926301,2.8798294,1.3665228,2.8543725
19164.75,19426.965756202924,2.860155,1.4247352,2.8303926
19015.41015625,19376.951743779628,2.8463125,1.4473174,2.8152037
19120.9296875,19226.22432252088,2.8444157,1.407898,2.8121881
19104.099609375,19333.305921499054,2.8549109,1.4172826,2.811981
19066.470703125,19316.610310750348,2.8566525,1.4052072,2.8220553
19254.9296875,19278.74385375973,2.862433,1.3909483,2.8262823
19210.900390625,19470.134619614346,2.864393,1.4096731,2.8306565
19373.830078125,19426.591727353003,2.864266,1.3782347,2.8382943
19508.2890625,19592.8590037449,2.875007,1.3726927,2.8467512
19486.189453125,19730.733436986724,2.8779693,1.3564439,2.8565135
19432.810546875,19709.185357479248,2.8825443,1.3346822,2.861341
19583.390625,19653.79541298109,2.8739667,1.3566805,2.8528392
19657.369140625,19807.562633728543,2.8791716,1.351563,2.8560073
19461.189453125,19885.122201950886,2.8853512,1.3090286,2.8682203
