Actual,Predicted,TCN_trend,TCN_volatility,TCN_momentum
38596.46875,38633.34003284925,2.913324,4.381576,-0.023673221
38804.6484375,38596.83988578776,2.916286,4.3921437,-0.01208959
39173.1484375,38804.99860377026,2.915451,4.393322,-0.0174676
39667.0703125,39173.613313547285,2.9119866,4.37801,0.005552524
39341.5390625,39667.584523324935,2.922894,4.389471,0.013276937
39583.078125,39341.97604123803,2.9231677,4.4132185,-0.0007391274
39631.05859375,39583.37225652066,2.9259257,4.438413,-0.032528467
40074.69140625,39631.746493400344,2.9205346,4.420597,0.044394292
40580.76171875,40075.18735587436,2.9231336,4.42517,0.00821496
40913.6484375,40581.4634187889,2.9348912,4.4376307,0.04234185
40912.37109375,40914.285645963304,2.9435215,4.4623985,0.030261535
40780.69921875,40912.91841024665,2.9436347,4.4826984,0.013875058
41580.171875,40781.21517750008,2.9390192,4.4957285,0.0080701215
41831.98828125,41580.795177881955,2.9400506,4.4893007,0.024157062
42224.01953125,41833.04310759945,2.9424925,4.48409,0.085473344
41190.6796875,42224.58329676715,2.9548082,4.5225515,0.0077019464
41275.078125,41191.44385858832,2.9497437,4.5432453,0.04504351
41097.69140625,41275.55555374897,2.9442925,4.5453005,-0.012973943
40126.3515625,41098.69042443398,2.9328065,4.5090494,0.08044046
40063.7890625,40126.75829088345,2.9270234,4.5122128,-0.017167471
39599.0,40064.19430598389,2.9357734,4.5156665,-0.01826651
39594.390625,39599.737559664405,2.9329543,4.487573,0.051540993
39154.8515625,39594.75013928099,2.9281588,4.461331,-0.017956458
37869.51171875,39155.23739365088,2.9259198,4.4554787,-0.010807646
37667.41015625,37869.605954867635,2.911624,4.458893,-0.10303265
38468.62890625,37667.43984644889,2.8982682,4.4337635,-0.1232107
38525.94921875,38469.053444417434,2.9031332,4.3628316,-6.16014e-05
39101.8203125,38526.31095338804,2.9092064,4.341398,-0.013930667
38126.328125,39102.06389305929,2.9325233,4.384809,-0.043228406
35909.69921875,38126.68878203175,2.9210782,4.4006057,-0.012789322
31458.419921875,35909.596645542595,2.8710573,4.42937,-0.25221485
34675.4609375,31458.271685745338,2.7101412,4.3655767,-0.68688565
35089.62109375,34675.35451916751,2.7591224,4.1439347,-0.14687344
34831.1484375,35106.63831854053,2.8294988,3.8868823,0.62588286
35025.0,34831.3497842982,2.9268074,4.214029,-0.042981155
36232.51171875,35025.107774388765,2.904859,4.2655087,-0.072094135
36442.4296875,36234.19103130413,2.8858795,4.120577,0.18851528
36726.640625,36443.36328840339,2.8223426,4.0854373,0.10457632
38062.671875,36726.34468543965,2.8729436,4.257931,-0.19971627
37388.62109375,38062.633494554655,2.8935244,4.2751846,-0.11865804
38062.921875,37389.46134470478,2.8709183,4.2929235,0.082206376
37951.80078125,38063.1367461397,2.906279,4.3431907,-0.047890663
38211.01171875,37952.274415775995,2.889969,4.379949,0.012756957
38364.26953125,38211.354556764236,2.8764875,4.350212,-0.016247008
38110.21875,38364.792323610716,2.895716,4.3603945,0.020590147
38288.62109375,38110.557846367694,2.9049551,4.3843136,-0.017670367
38371.76171875,38288.91653962046,2.8994844,4.3851776,-0.028478885
38362.53125,38372.29664155465,2.9037192,4.3728404,0.022682384
