Date,Actual,Predicted,TCN_trend,TCN_volatility,TCN_momentum
2024-06-18,2455.11,2461.298443974548,1.8873578,3.1747808,0.35883617
2024-06-19,2491.74,2457.576874788069,1.8903444,3.1746273,0.35364038
2024-06-20,2497.82,2494.5480020522305,1.8661032,3.189877,0.402277
2024-06-21,2489.91,2500.7732646026625,1.8566728,3.1831098,0.41437066
2024-06-24,2542.42,2492.734647888419,1.865222,3.1852016,0.40242857
2024-06-25,2547.21,2545.858886038053,1.8275485,3.199623,0.47686088
2024-06-26,2541.43,2550.7698012784954,1.8208333,3.1948824,0.48662573
2024-06-27,2547.78,2544.9278899190786,1.8262029,3.1893337,0.4843216
2024-06-28,2561.27,2551.400161227428,1.8171394,3.190824,0.4894505
2024-07-01,2553.09,2565.2126648685457,1.8006465,3.1804585,0.51743734
2024-07-02,2528.44,2556.8691626910754,1.8091428,3.1833293,0.50318635
2024-07-03,2543.64,2531.933614003752,1.8244598,3.174469,0.468682
2024-07-04,2549.11,2547.4082355434,1.8094211,3.1706903,0.4937737
2024-07-05,2518.89,2552.916684975587,1.806829,3.1761127,0.4988459
2024-07-08,2539.4,2522.206637861344,1.834564,3.1777618,0.4521249
2024-07-09,2543.85,2543.103138906866,1.8127288,3.1710706,0.48716274
2024-07-10,2521.39,2547.600273443626,1.8105605,3.1720648,0.49319002
2024-07-11,2547.69,2524.7205224582663,1.8348186,3.177894,0.45747352
2024-07-12,2566.19,2551.4434642712517,1.8099666,3.1785834,0.49624094
2024-07-15,2569.86,2570.2864762000977,1.79283,3.1739612,0.5283494
2024-07-16,2485.93,2573.9408033615105,1.7950892,3.180953,0.53241396
2024-07-17,2454.63,2488.918462974267,1.8544827,3.1635656,0.4068229
2024-07-18,2496.44,2457.355181198647,1.8715055,3.1486187,0.36484993
2024-07-19,2476.38,2499.570410535033,1.8455955,3.1639614,0.42245978
2024-07-22,2481.28,2479.2130647992967,1.8651743,3.1646717,0.39254838
2024-07-23,2445.06,2484.115515900922,1.8651636,3.1708393,0.39754927
2024-07-24,2431.72,2447.5561799020256,1.8886333,3.1570683,0.34728652
2024-07-25,2415.63,2434.106372721024,1.8961947,3.1529071,0.32785082
2024-07-26,2407.15,2417.816169368389,1.9111629,3.1558826,0.3005806
2024-07-29,2419.12,2409.2593069597465,1.9174004,3.1539412,0.2884398
2024-07-30,2384.77,2421.2866461843814,1.9129475,3.161903,0.30339634
2024-07-31,2421.49,2386.645965607805,1.9373622,3.1539526,0.2538613
